Simulation of Simon quantum algorithm.
bits = 2, simulations = 200
N	steps	time	time/steps
62	6	0.120	0.020
63	4	0.107	0.027
64	5	0.113	0.023
65	6	0.122	0.020
66	8	0.128	0.016
67	5	0.110	0.022
68	7	0.127	0.018
69	4	0.108	0.027
70	5	0.113	0.023
71	6	0.116	0.019
72	4	0.107	0.027
73	4	0.107	0.027
74	5	0.111	0.022
75	4	0.107	0.027
76	4	0.107	0.027
77	4	0.107	0.027
78	11	0.141	0.013
79	6	0.120	0.020
80	8	0.122	0.015
81	9	0.141	0.016
82	11	0.153	0.014
83	7	0.128	0.018
84	5	0.113	0.023
85	9	0.139	0.015
86	5	0.113	0.023
87	6	0.113	0.019
88	8	0.130	0.016
89	4	0.108	0.027
90	5	0.110	0.022
91	6	0.116	0.019
92	5	0.113	0.023
93	7	0.125	0.018
94	8	0.135	0.017
95	9	0.136	0.015
96	5	0.113	0.023
97	6	0.120	0.020
98	4	0.108	0.027
99	6	0.116	0.019
100	7	0.124	0.018
101	4	0.107	0.027
102	4	0.107	0.027
103	8	0.123	0.015
104	5	0.111	0.022
105	4	0.108	0.027
106	8	0.124	0.016
107	6	0.120	0.020
108	4	0.107	0.027
109	4	0.107	0.027
110	4	0.108	0.027
111	4	0.107	0.027
112	4	0.108	0.027
113	4	0.108	0.027
114	6	0.116	0.019
115	5	0.113	0.023
116	6	0.115	0.019
117	4	0.107	0.027
118	5	0.114	0.023
119	8	0.128	0.016
120	5	0.114	0.023
121	4	0.108	0.027
122	6	0.114	0.019
123	11	0.136	0.012
124	4	0.107	0.027
125	5	0.109	0.022
126	5	0.113	0.023
127	6	0.120	0.020
128	5	0.113	0.023
129	4	0.107	0.027
130	4	0.107	0.027
131	4	0.108	0.027
132	5	0.109	0.022
133	4	0.107	0.027
134	4	0.108	0.027
135	12	0.171	0.014
136	6	0.120	0.020
137	5	0.111	0.022
138	4	0.107	0.027
139	6	0.121	0.020
140	6	0.117	0.020
141	6	0.113	0.019
142	4	0.108	0.027
143	5	0.114	0.023
144	4	0.108	0.027
145	6	0.111	0.019
146	4	0.108	0.027
147	8	0.132	0.016
148	5	0.113	0.023
149	5	0.109	0.022
150	5	0.113	0.023
151	7	0.119	0.017
152	6	0.118	0.020
153	5	0.114	0.023
154	8	0.121	0.015
155	4	0.108	0.027
156	6	0.115	0.019
157	4	0.107	0.027
158	8	0.126	0.016
159	6	0.115	0.019
160	5	0.114	0.023
161	7	0.122	0.017
162	6	0.120	0.020
163	5	0.114	0.023
164	5	0.110	0.022
165	6	0.118	0.020
166	5	0.113	0.023
167	4	0.107	0.027
168	5	0.113	0.023
169	6	0.117	0.020
170	5	0.114	0.023
171	6	0.117	0.019
172	7	0.119	0.017
173	5	0.114	0.023
174	5	0.114	0.023
175	11	0.141	0.013
176	8	0.133	0.017
177	5	0.113	0.023
178	4	0.108	0.027
179	6	0.120	0.020
180	8	0.129	0.016
181	11	0.154	0.014
182	4	0.107	0.027
183	4	0.108	0.027
184	5	0.114	0.023
185	5	0.114	0.023
186	5	0.109	0.022
187	4	0.107	0.027
188	5	0.111	0.022
189	7	0.117	0.017
190	7	0.124	0.018
191	4	0.109	0.027
192	6	0.117	0.019
193	7	0.123	0.018
194	5	0.113	0.023
195	5	0.113	0.023
196	8	0.125	0.016
197	4	0.108	0.027
198	4	0.108	0.027
199	4	0.108	0.027
Analysis of simulated data.
Mean steps = 5.585
Var steps = 3.0427750000000002
Mean time/step = 0.02191297604978355
Var time/step = 1.7243103560992238e-05
Simulation of Simon quantum algorithm.
bits = 6, simulations = 200
N	steps	time	time/steps
0	5	0.333	0.067
1	5	0.334	0.067
2	5	0.340	0.068
3	6	0.348	0.058
4	7	0.372	0.053
5	8	0.372	0.046
6	5	0.339	0.068
7	7	0.372	0.053
8	7	0.368	0.053
9	10	0.409	0.041
10	6	0.355	0.059
11	7	0.372	0.053
12	8	0.389	0.049
13	6	0.347	0.058
14	5	0.340	0.068
15	7	0.370	0.053
16	6	0.351	0.058
17	7	0.372	0.053
18	6	0.354	0.059
19	6	0.356	0.059
20	13	0.488	0.038
21	6	0.353	0.059
22	9	0.403	0.045
23	8	0.384	0.048
24	6	0.355	0.059
25	10	0.419	0.042
26	5	0.339	0.068
27	6	0.355	0.059
28	5	0.339	0.068
29	6	0.355	0.059
30	7	0.362	0.052
31	6	0.355	0.059
32	6	0.352	0.059
33	6	0.356	0.059
34	5	0.338	0.068
35	5	0.340	0.068
36	6	0.351	0.059
37	7	0.373	0.053
38	7	0.363	0.052
39	9	0.404	0.045
40	8	0.390	0.049
41	6	0.348	0.058
42	5	0.337	0.067
43	5	0.339	0.068
44	10	0.418	0.042
45	5	0.338	0.068
46	6	0.353	0.059
47	6	0.353	0.059
48	5	0.338	0.068
49	6	0.353	0.059
50	6	0.354	0.059
51	7	0.361	0.052
52	10	0.420	0.042
53	7	0.365	0.052
54	5	0.338	0.068
55	6	0.353	0.059
56	9	0.405	0.045
57	9	0.409	0.045
58	7	0.370	0.053
59	6	0.348	0.058
60	5	0.338	0.068
61	9	0.406	0.045
62	7	0.366	0.052
63	11	0.436	0.040
64	7	0.359	0.051
65	7	0.364	0.052
66	7	0.363	0.052
67	7	0.362	0.052
68	8	0.376	0.047
69	5	0.337	0.067
70	6	0.354	0.059
71	6	0.354	0.059
72	7	0.370	0.053
73	5	0.338	0.068
74	5	0.338	0.068
75	6	0.352	0.059
76	6	0.353	0.059
77	5	0.339	0.068
78	6	0.354	0.059
79	7	0.369	0.053
80	5	0.343	0.069
81	5	0.339	0.068
82	7	0.367	0.052
83	5	0.340	0.068
84	7	0.370	0.053
85	6	0.354	0.059
86	6	0.354	0.059
87	5	0.340	0.068
88	6	0.347	0.058
89	7	0.368	0.053
90	10	0.410	0.041
91	10	0.416	0.042
92	5	0.339	0.068
93	5	0.338	0.068
94	7	0.370	0.053
95	11	0.442	0.040
96	11	0.429	0.039
97	9	0.398	0.044
98	5	0.337	0.067
99	5	0.338	0.068
100	6	0.350	0.058
101	6	0.348	0.058
102	8	0.362	0.045
103	5	0.338	0.068
104	11	0.435	0.040
105	5	0.337	0.067
106	7	0.365	0.052
107	7	0.364	0.052
108	5	0.336	0.067
109	6	0.351	0.059
110	6	0.352	0.059
111	5	0.337	0.067
112	8	0.385	0.048
113	5	0.337	0.067
114	8	0.372	0.047
115	5	0.336	0.067
116	10	0.413	0.041
117	5	0.338	0.068
118	5	0.337	0.067
119	7	0.365	0.052
120	5	0.337	0.067
121	6	0.352	0.059
122	6	0.352	0.059
123	6	0.353	0.059
124	5	0.338	0.068
125	7	0.369	0.053
126	7	0.357	0.051
127	5	0.337	0.067
128	6	0.349	0.058
129	7	0.361	0.052
130	12	0.465	0.039
131	5	0.337	0.067
132	5	0.338	0.068
133	5	0.338	0.068
134	5	0.338	0.068
135	7	0.367	0.052
136	10	0.420	0.042
137	6	0.353	0.059
138	7	0.366	0.052
139	6	0.343	0.057
140	5	0.338	0.068
141	5	0.339	0.068
142	5	0.338	0.068
143	6	0.344	0.057
144	9	0.407	0.045
145	6	0.348	0.058
146	6	0.344	0.057
147	5	0.338	0.068
148	6	0.346	0.058
149	9	0.412	0.046
150	5	0.340	0.068
151	8	0.383	0.048
152	10	0.420	0.042
153	5	0.340	0.068
154	7	0.371	0.053
155	5	0.339	0.068
156	6	0.355	0.059
157	7	0.367	0.052
158	5	0.339	0.068
159	5	0.340	0.068
160	8	0.381	0.048
161	5	0.338	0.068
162	7	0.370	0.053
163	8	0.390	0.049
164	6	0.349	0.058
165	7	0.371	0.053
166	7	0.371	0.053
167	13	0.474	0.036
168	6	0.349	0.058
169	5	0.339	0.068
170	6	0.355	0.059
171	9	0.412	0.046
172	8	0.388	0.048
173	6	0.355	0.059
174	6	0.355	0.059
175	7	0.374	0.053
176	7	0.373	0.053
