rodrigo@hal ~/qc/python % python simon.py 
325/1000 N = 3.3374233128834354
326/1000 N = 3.3363914373088686
327/1000 N = 3.332317073170732
328/1000 N = 3.346504559270517
329/1000 N = 3.3454545454545452
330/1000 N = 3.3444108761329305
331/1000 N = 3.3403614457831323
332/1000 N = 3.3453453453453452
333/1000 N = 3.3473053892215567
334/1000 N = 3.343283582089552
335/1000 N = 3.3422619047619047
336/1000 N = 3.344213649851632
337/1000 N = 3.3520710059171597
338/1000 N = 3.3569321533923304
339/1000 N = 3.3558823529411765
340/1000 N = 3.3519061583577714
341/1000 N = 3.3508771929824563
342/1000 N = 3.3469387755102042
343/1000 N = 3.3459302325581395
344/1000 N = 3.3507246376811595
345/1000 N = 3.3497109826589595
346/1000 N = 3.345821325648415
347/1000 N = 3.3419540229885056
348/1000 N = 3.349570200573066
349/1000 N = 3.3485714285714288
350/1000 N = 3.3504273504273505
351/1000 N = 3.346590909090909
352/1000 N = 3.3427762039660056
353/1000 N = 3.34180790960452
354/1000 N = 3.340845070422535
355/1000 N = 3.3398876404494384
356/1000 N = 3.338935574229692
357/1000 N = 3.346368715083799
358/1000 N = 3.3426183844011144
359/1000 N = 3.341666666666667
360/1000 N = 3.3407202216066483
361/1000 N = 3.339779005524862
362/1000 N = 3.3443526170798896
363/1000 N = 3.3516483516483517
364/1000 N = 3.347945205479452
365/1000 N = 3.3442622950819674
366/1000 N = 3.343324250681199
367/1000 N = 3.339673913043478
368/1000 N = 3.3360433604336044
369/1000 N = 3.3324324324324324
370/1000 N = 3.3315363881401616
371/1000 N = 3.327956989247312
372/1000 N = 3.329758713136729
373/1000 N = 3.3262032085561497
374/1000 N = 3.3253333333333335
375/1000 N = 3.3218085106382977
376/1000 N = 3.3183023872679045
377/1000 N = 3.322751322751323
378/1000 N = 3.3192612137203166
379/1000 N = 3.318421052631579
380/1000 N = 3.3175853018372705
381/1000 N = 3.316753926701571
382/1000 N = 3.318537859007833
383/1000 N = 3.3151041666666665
384/1000 N = 3.3142857142857145
385/1000 N = 3.3134715025906734
386/1000 N = 3.3152454780361755
387/1000 N = 3.3118556701030926
388/1000 N = 3.3110539845758353
389/1000 N = 3.3153846153846156
390/1000 N = 3.312020460358056
391/1000 N = 3.308673469387755
392/1000 N = 3.3053435114503817
393/1000 N = 3.302030456852792
394/1000 N = 3.2987341772151897
395/1000 N = 3.3005050505050506
396/1000 N = 3.299748110831234
397/1000 N = 3.3040201005025125
398/1000 N = 3.300751879699248
399/1000 N = 3.3025
400/1000 N = 3.3017456359102244
401/1000 N = 3.298507462686567
402/1000 N = 3.305210918114144
403/1000 N = 3.301980198019802
404/1000 N = 3.311111111111111
405/1000 N = 3.310344827586207
406/1000 N = 3.312039312039312
407/1000 N = 3.3088235294117645
408/1000 N = 3.312958435207824
409/1000 N = 3.3121951219512193
410/1000 N = 3.3114355231143553
411/1000 N = 3.313106796116505
412/1000 N = 3.317191283292978
413/1000 N = 3.318840579710145
414/1000 N = 3.3180722891566266
415/1000 N = 3.3149038461538463
416/1000 N = 3.316546762589928
417/1000 N = 3.313397129186603
418/1000 N = 3.3102625298329356
419/1000 N = 3.3119047619047617
420/1000 N = 3.315914489311164
421/1000 N = 3.315165876777251
422/1000 N = 3.314420803782506
423/1000 N = 3.311320754716981
424/1000 N = 3.3105882352941176
425/1000 N = 3.3098591549295775
426/1000 N = 3.309133489461358
427/1000 N = 3.30607476635514
428/1000 N = 3.3146853146853146
429/1000 N = 3.313953488372093
430/1000 N = 3.3109048723897914
431/1000 N = 3.314814814814815
432/1000 N = 3.3163972286374133
433/1000 N = 3.313364055299539
434/1000 N = 3.317241379310345
435/1000 N = 3.3142201834862384
436/1000 N = 3.3180778032036615
437/1000 N = 3.317351598173516
438/1000 N = 3.3143507972665147
439/1000 N = 3.3181818181818183
440/1000 N = 3.3174603174603177
441/1000 N = 3.31447963800905
442/1000 N = 3.3160270880361176
443/1000 N = 3.313063063063063
444/1000 N = 3.3146067415730336
445/1000 N = 3.3161434977578477
446/1000 N = 3.3131991051454137
447/1000 N = 3.310267857142857
448/1000 N = 3.3118040089086858
449/1000 N = 3.3088888888888888
450/1000 N = 3.305986696230599
451/1000 N = 3.3053097345132745
452/1000 N = 3.3046357615894038
453/1000 N = 3.301762114537445
454/1000 N = 3.2989010989010987
455/1000 N = 3.2960526315789473
456/1000 N = 3.297592997811816
457/1000 N = 3.3034934497816595
458/1000 N = 3.3028322440087146
459/1000 N = 3.3021739130434784
460/1000 N = 3.3036876355748372
461/1000 N = 3.3008658008658007
462/1000 N = 3.300215982721382
463/1000 N = 3.2995689655172415
464/1000 N = 3.2989247311827956
465/1000 N = 3.300429184549356
466/1000 N = 3.310492505353319
467/1000 N = 3.3098290598290596
468/1000 N = 3.307036247334755
469/1000 N = 3.3085106382978724
470/1000 N = 3.305732484076433
471/1000 N = 3.305084745762712
472/1000 N = 3.3044397463002113
473/1000 N = 3.30168776371308
474/1000 N = 3.3010526315789472
475/1000 N = 3.2983193277310923
476/1000 N = 3.29769392033543
477/1000 N = 3.294979079497908
478/1000 N = 3.2922755741127347
479/1000 N = 3.29375
480/1000 N = 3.291060291060291
481/1000 N = 3.288381742738589
482/1000 N = 3.2919254658385095
483/1000 N = 3.291322314049587
484/1000 N = 3.288659793814433
485/1000 N = 3.294238683127572
486/1000 N = 3.291581108829569
487/1000 N = 3.2889344262295084
488/1000 N = 3.2862985685071573
489/1000 N = 3.283673469387755
490/1000 N = 3.281059063136456
491/1000 N = 3.282520325203252
492/1000 N = 3.3002028397565923
493/1000 N = 3.299595141700405
494/1000 N = 3.296969696969697
495/1000 N = 3.3004032258064515
496/1000 N = 3.299798792756539
497/1000 N = 3.2991967871485945
498/1000 N = 3.2985971943887775
499/1000 N = 3.298
500/1000 N = 3.2994011976047903
501/1000 N = 3.2968127490039842
502/1000 N = 3.298210735586481
503/1000 N = 3.2956349206349205
504/1000 N = 3.295049504950495
505/1000 N = 3.292490118577075
506/1000 N = 3.2919132149901382
507/1000 N = 3.293307086614173
508/1000 N = 3.2907662082514735
509/1000 N = 3.292156862745098
510/1000 N = 3.289628180039139
511/1000 N = 3.287109375
512/1000 N = 3.284600389863548
513/1000 N = 3.2840466926070038
514/1000 N = 3.2815533980582523
515/1000 N = 3.2848837209302326
516/1000 N = 3.286266924564797
517/1000 N = 3.2837837837837838
518/1000 N = 3.285163776493256
519/1000 N = 3.2826923076923076
520/1000 N = 3.291746641074856
521/1000 N = 3.293103448275862
522/1000 N = 3.2906309751434035
523/1000 N = 3.2938931297709924
524/1000 N = 3.2914285714285714
525/1000 N = 3.2927756653992395
526/1000 N = 3.292220113851992
527/1000 N = 3.2916666666666665
528/1000 N = 3.2892249527410207
529/1000 N = 3.288679245283019
530/1000 N = 3.2900188323917137
531/1000 N = 3.287593984962406
532/1000 N = 3.2851782363977486
533/1000 N = 3.2883895131086143
534/1000 N = 3.285981308411215
535/1000 N = 3.28544776119403
536/1000 N = 3.283054003724395
537/1000 N = 3.2806691449814127
538/1000 N = 3.282003710575139
539/1000 N = 3.2814814814814817
540/1000 N = 3.2828096118299444
541/1000 N = 3.2804428044280445
542/1000 N = 3.283609576427256
543/1000 N = 3.2830882352941178
544/1000 N = 3.2807339449541284
545/1000 N = 3.28021978021978
546/1000 N = 3.2778793418647165
547/1000 N = 3.2791970802919708
548/1000 N = 3.276867030965392
549/1000 N = 3.28
550/1000 N = 3.277676950998185
551/1000 N = 3.2807971014492754
552/1000 N = 3.278481012658228
553/1000 N = 3.276173285198556
554/1000 N = 3.2756756756756755
555/1000 N = 3.2751798561151078
556/1000 N = 3.274685816876122
557/1000 N = 3.274193548387097
558/1000 N = 3.2719141323792487
559/1000 N = 3.2714285714285714
560/1000 N = 3.2745098039215685
561/1000 N = 3.2793594306049823
562/1000 N = 3.2841918294849024
563/1000 N = 3.2925531914893615
564/1000 N = 3.2920353982300883
565/1000 N = 3.2968197879858656
566/1000 N = 3.2945326278659612
567/1000 N = 3.295774647887324
568/1000 N = 3.295254833040422
569/1000 N = 3.2929824561403507
570/1000 N = 3.2907180385288965
571/1000 N = 3.2902097902097904
572/1000 N = 3.287958115183246
573/1000 N = 3.2874564459930316
574/1000 N = 3.285217391304348
575/1000 N = 3.2847222222222223
576/1000 N = 3.287694974003466
577/1000 N = 3.2941176470588234
578/1000 N = 3.291882556131261
579/1000 N = 3.2896551724137932
580/1000 N = 3.287435456110155
581/1000 N = 3.2852233676975944
582/1000 N = 3.286449399656947
583/1000 N = 3.285958904109589
584/1000 N = 3.2837606837606836
585/1000 N = 3.2849829351535837
